,category,index,label,high_conf,high_prec,high_recall,med_conf,med_prec,med_recall,low_conf,low_prec,low_recall
28,make,31,Jaguar,2.4140005111694336,0.760869562625885,0.5384615659713745,1.838766098022461,0.6594594717025757,0.6256410479545593,1.2635316848754883,0.5194346308708191,0.7538461685180664
29,make,32,Jeep,2.324321985244751,0.7548746466636658,0.7677053809165955,1.4496972560882568,0.6020202040672302,0.844192624092102,0.8666141629219055,0.5160744786262512,0.8640226721763611
30,make,33,Kenworth,5.882509708404541,0.0,0.0,5.882509708404541,0.0,0.0,5.882509708404541,0.0,0.0
31,make,34,Kia,2.035999298095703,0.7842105031013489,0.7358024716377258,0.9523918628692627,0.6252301931381226,0.8382716178894043,0.4105880558490753,0.5269770622253418,0.8802469372749329
32,make,35,Lada,1.5141618251800537,0.8225806355476379,0.5049505233764648,0.8447040915489197,0.6704545617103577,0.5841584205627441,0.5099751949310303,0.581818163394928,0.6336633563041687
33,make,36,Lamborghini,3.67323637008667,0.7641509175300598,0.6864407062530518,2.661977767944336,0.6038960814476013,0.7881355881690979,2.3248915672302246,0.5300546288490295,0.8220338821411133
34,make,37,Lancia,1.9499764442443848,0.8020833134651184,0.7549019455909729,1.2586283683776855,0.6204379796981812,0.8333333134651184,1.2586283683776855,0.6204379796981812,0.8333333134651184
35,make,38,Land Rover,1.0732249021530151,0.7910447716712952,0.8760330677032471,0.09607982635498047,0.6281690001487732,0.9214876294136047,-0.22963520884513855,0.547911524772644,0.9214876294136047
36,make,39,Lexus,2.064509630203247,0.7722007632255554,0.625,1.359309196472168,0.6155914068222046,0.715624988079071,1.0067088603973389,0.5429864525794983,0.75
37,make,40,Lincoln,2.2835915088653564,0.7716535329818726,0.5355191230773926,1.5770776271820068,0.6111111044883728,0.6010928750038147,1.2238205671310425,0.530701756477356,0.6612021923065186
38,make,41,Maserati,3.3161332607269287,0.7722772359848022,0.64462810754776,2.977395534515381,0.7454545497894287,0.6776859760284424,2.299920082092285,0.5146198868751526,0.7272727489471436
72,make,42,Maybach,-0.9085091948509216,0.567307710647583,0.7763158082962036,-2.060904026031494,0.35458168387413025,0.8782894611358643,-3.9815618991851807,0.12001678347587585,0.9407894611358643
39,make,43,Mazda,2.575347423553467,0.7810457348823547,0.5206971764564514,1.6885508298873901,0.6399999856948853,0.6274510025978088,1.0973531007766724,0.5218800902366638,0.7015250325202942
40,make,44,McLaren,2.8080880641937256,0.7552083134651184,0.7250000238418579,1.7784690856933594,0.6477272510528564,0.8550000190734863,0.7488501071929932,0.529411792755127,0.8999999761581421
41,make,45,Mercedes-Benz,0.6864069700241089,0.7614555358886719,0.8370370268821716,0.05917885899543762,0.6440489292144775,0.8577777743339539,-0.5680491924285889,0.5261756777763367,0.8785185217857361
42,make,46,Mercury,2.564568042755127,0.5068492889404297,0.1822660118341446,0.4920072555541992,0.3257142901420593,0.5615763664245605,-2.4687938690185547,0.10064239799976349,0.9261083602905273
43,make,47,MG,0.9890919923782349,0.7637795209884644,0.7698412537574768,0.6586410999298096,0.6490066051483154,0.7777777910232544,0.32819026708602905,0.5690608024597168,0.817460298538208
44,make,48,Mini,0.15939593315124512,0.8207171559333801,0.9537037014961243,-0.7715705633163452,0.6129032373428345,0.9675925970077515,-1.081892728805542,0.5288220643997192,0.9768518805503845
45,make,49,Mitsubishi,1.5325233936309814,0.774193525314331,0.6442952752113342,0.6796860694885254,0.60326087474823,0.744966447353363,0.39540696144104004,0.5298621654510498,0.7740492224693298
46,make,50,Nissan,2.7340762615203857,0.77173912525177,0.5358490347862244,2.217132329940796,0.6597510576248169,0.6000000238418579,1.7001885175704956,0.526627242565155,0.6716980934143066
47,make,51,Opel,2.7086429595947266,0.5051546096801758,0.3858267664909363,1.5457950830459595,0.30708661675453186,0.6141732335090637,-0.1984769105911255,0.1006842628121376,0.8110235929489136
48,make,52,Peterbilt,4.4297075271606445,0.52173912525177,0.10084033757448196,3.238126754760742,0.3380281627178192,0.20168067514896393,1.1528596878051758,0.10559006035327911,0.4285714328289032
49,make,53,Peugeot,5.181753158569336,0.5137614607810974,0.2240000069141388,1.896141767501831,0.3140350878238678,0.7160000205039978,-0.8418679237365723,0.1136254221200943,0.9440000057220459
50,make,54,Plymouth,0.6712616682052612,0.5350318551063538,0.5714285969734192,-0.9804404973983765,0.3257142901420593,0.7755101919174194,-3.457993745803833,0.11754537373781204,0.9251700639724731
51,make,55,Pontiac,2.2215464115142822,0.5797872543334961,0.5369458198547363,1.2147901058197021,0.35411471128463745,0.6995074152946472,-1.1343079805374146,0.11753614246845245,0.9211822748184204
52,make,56,Porsche,1.5286378860473633,0.7956989407539368,0.7081339955329895,0.828498125076294,0.6600000262260437,0.7894737124443054,0.4784282445907593,0.5805369019508362,0.8277512192726135
53,make,57,RAM,2.7328248023986816,0.536697268486023,0.5707316994667053,0.5745635032653809,0.31809523701667786,0.8146341443061829,-4.666928291320801,0.10642837733030319,0.9731707572937012
54,make,58,Renault,2.935349941253662,0.7903929948806763,0.5402985215187073,2.01943302154541,0.6060606241226196,0.6567164063453674,1.714127540588379,0.5433255434036255,0.6925373077392578
55,make,59,Rolls-Royce,1.7467482089996338,0.7931034564971924,0.6666666865348816,0.9032772183418274,0.6824034452438354,0.7681159377098083,0.05980628728866577,0.516224205493927,0.8454106450080872
56,make,60,Saab,0.8399744033813477,0.7647058963775635,0.8425925970077515,0.4740149974822998,0.6911764740943909,0.8703703880310059,0.10805559158325195,0.5664739608764648,0.9074074029922485
57,make,61,Saturn,5.8263959884643555,0.0,0.0,5.8263959884643555,0.0,0.0,5.8263959884643555,0.0,0.0
58,make,62,Scion,3.4570648670196533,0.5593220591545105,0.2199999988079071,2.5658764839172363,0.35971224308013916,0.3333333432674408,0.18937385082244873,0.10320641100406647,0.6866666674613953
59,make,63,SEAT,2.072638750076294,0.8167939186096191,0.6257309913635254,1.1198887825012207,0.6195122003555298,0.7426900863647461,0.8023055195808411,0.5560166239738464,0.7836257219314575
60,make,64,Skoda,0.5743433237075806,0.761904776096344,0.8397790193557739,0.2264212965965271,0.6842105388641357,0.8618784546852112,-0.12150070071220398,0.576301634311676,0.8867403268814087
61,make,65,Smart,1.4766489267349243,0.7857142686843872,0.9082568883895874,0.7270574569702148,0.6144578456878662,0.9357798099517822,0.3522617220878601,0.5454545617103577,0.9357798099517822
73,make,66,Spyker,-0.9085091948509216,0.567307710647583,0.7763158082962036,-2.060904026031494,0.35458168387413025,0.8782894611358643,-3.9815618991851807,0.12001678347587585,0.9407894611358643
62,make,67,SsangYong,1.5921878814697266,0.7863247990608215,0.7540983557701111,1.234865427017212,0.7272727489471436,0.7868852615356445,0.5202205181121826,0.5343915224075317,0.8278688788414001
63,make,68,Subaru,1.865041971206665,0.7835820913314819,0.7342657446861267,1.1661431789398193,0.6470588445663452,0.807692289352417,0.8166937828063965,0.5586854219436646,0.8321678042411804
64,make,69,Suzuki,2.247325897216797,0.5477706789970398,0.5910652875900269,1.1928058862686157,0.3497537076473236,0.7319587469100952,-0.9162343740463257,0.11299435049295425,0.8934707641601562
65,make,70,Tesla,0.5503374338150024,0.800000011920929,0.893081784248352,-0.49834340810775757,0.6122449040412903,0.9433962106704712,-0.8479037284851074,0.5410714149475098,0.9528301954269409
66,make,71,Toyota,2.4848856925964355,0.7620905041694641,0.7609034180641174,1.7184960842132568,0.6312389969825745,0.8372274041175842,1.2075695991516113,0.5382395386695862,0.8714953064918518
67,make,72,Volkswagen,1.1875579357147217,0.7514124512672424,0.5352112650871277,0.6048605442047119,0.622559666633606,0.577464759349823,0.31351184844970703,0.5520446300506592,0.5975854992866516
68,make,73,Volvo,1.0453639030456543,0.7529411911964417,0.6168674826622009,0.27217063307762146,0.600389838218689,0.742168664932251,0.014439523220062256,0.5491525530815125,0.7807229161262512
0,color,0,black,4.574405670166016,0.8135276436805725,0.47512003779411316,3.3718440532684326,0.7055479288101196,0.785464882850647,2.6202428340911865,0.6078661680221558,0.9039720892906189
1,color,1,blue,4.987086772918701,0.7101967930793762,0.35320284962654114,4.155055522918701,0.5599665641784668,0.5960854291915894,3.1566174030303955,0.4157455563545227,0.8198398351669312
2,color,2,brown,4.180441856384277,0.7018970251083374,0.21074043214321136,3.1633830070495605,0.5704887509346008,0.4938974678516388,2.3158342838287354,0.4244999885559082,0.6908055543899536
3,color,3,green,5.166686058044434,0.7229299545288086,0.2433011829853058,3.887322187423706,0.5724346041679382,0.6098606586456299,2.6079580783843994,0.4007510840892792,0.8006430864334106
4,color,4,grey,4.9845805168151855,0.7090578079223633,0.5139967799186707,3.8212382793426514,0.5621227622032166,0.7917338609695435,2.5286359786987305,0.4004071354866028,0.9513410329818726
5,color,5,orange,4.088566780090332,0.7513812184333801,0.2915326952934265,2.875459909439087,0.5540838837623596,0.5380492806434631,2.008955240249634,0.4191073775291443,0.6441586017608643
10,color,6,pink,2.4459004402160645,0.8181818127632141,0.75,1.8916687965393066,0.557692289352417,0.8055555820465088,1.152693271636963,0.4124999940395355,0.9166666865348816
6,color,7,purple,2.9232828617095947,0.7022194862365723,0.6363128423690796,1.8249613046646118,0.5620043277740479,0.8709497451782227,0.543586254119873,0.40188902616500854,0.9508379697799683
7,color,8,red,4.48471736907959,0.733264684677124,0.4330900311470032,3.864633560180664,0.552970290184021,0.6794403791427612,1.0742578506469727,0.4020618498325348,0.9726277589797974
8,color,9,yellow,3.53588604927063,0.8257328867912292,0.501483678817749,2.846749782562256,0.7040690779685974,0.5647873282432556,2.32989764213562,0.6003860831260681,0.6152324676513672
9,color,10,white,3.1874406337738037,0.8024521470069885,0.9486970901489258,1.4618034362792969,0.7055526375770569,0.9943811297416687,0.08129405975341797,0.6104335784912109,0.9986156225204468
